Season & No. of Teams Ho(s) Team,2007/08,2009,2009/10,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chennai Super Kings,2,4,1,1,2,2,3,2,,,1,2,7,1,9
Delhi Capitals,4,3,5,10,3,9,8,7,6,6,8,3,2,3,5
Kolkata Knight Riders,6,8,6,4,1,7,1,5,4,3,3,5,5,2,7
Mumbai Indians,5,7,2,3,4,1,4,1,5,1,5,1,1,5,10
Punjab Kings,3,5,8,5,6,6,2,8,8,5,7,6,6,6,6
Rajasthan Royals,1,6,7,6,7,3,5,4,,,4,7,8,7,2
Royal Challengers Bangalore,7,2,3,2,5,5,7,3,2,8,6,8,4,4,3
Sunrisers Hyderabad,,,,,,4,6,6,1,4,2,4,3,8,8
Gujarat Titans,,,,,,,,,,,,,,,1
Lucknow Super Giants,,,,,,,,,,,,,,,4
Deccan Chargers,8,1,4,7,8, , , , , , , , , , 
Gujarat Lions,,,,,,,,,3,7,,,,,
Kochi Tuskers Kerala,,,,8,,,,,,,,,,,
Pune Warriors India,,,,9,9,8,,,,,,,,,
Rising Pune Supergiant,,,,,,,,,7,2,,,,,
